Feature,Block,Universe,Availability,Source,TemporalRule,Direction,Notes,PresentInTeamStore,PresentInHistoricalMatchups,PresentInStage2Matchups,InAnyCandidateSet,TargetDerivedPrior,RequiresFoldFittedPreprocessing
absdiff__availability__rich_coverage,availability_and_context,compact,common,availability__rich_coverage,known at forecast cutoff,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
availability__detailed,availability_and_context,compact,common,snapshot/source metadata,known at forecast cutoff,context_dependent,,True,False,False,False,False,True
availability__rich_coverage,availability_and_context,compact,common,snapshot/source metadata,known at forecast cutoff,context_dependent,,True,False,False,False,False,True
context__d1_tenure,availability_and_context,compact,common,snapshot/source metadata,known at forecast cutoff,context_dependent,,True,False,False,False,False,True
diff__availability__detailed,availability_and_context,compact,common,availability__detailed,known at forecast cutoff,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__availability__rich_coverage,availability_and_context,compact,common,availability__rich_coverage,known at forecast cutoff,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__context__d1_tenure,availability_and_context,compact,common,context__d1_tenure,known at forecast cutoff,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
diff__context__season_centered_2000,availability_and_context,compact,common,context__season_centered_2000,known at forecast cutoff,positive_means_team1_higher,Team1 minus Team2.,False,True,True,True,False,True
mean__availability__rich_coverage,availability_and_context,compact,common,availability__rich_coverage,known at forecast cutoff,matchup_context,Mean of both teams.,False,True,True,True,False,True
absdiff__compact__away_margin_mean,compact_performance,compact,common,compact__away_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__away_margin_std,compact_performance,compact,common,compact__away_margin_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__away_win_pct,compact_performance,compact,common,compact__away_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__close3_win_pct,compact_performance,compact,common,compact__close3_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__close5_win_pct,compact_performance,compact,common,compact__close5_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__day110plus_margin_mean,compact_performance,compact,common,compact__day110plus_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__day110plus_win_pct,compact_performance,compact,common,compact__day110plus_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__day120plus_margin_mean,compact_performance,compact,common,compact__day120plus_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__day120plus_win_pct,compact_performance,compact,common,compact__day120plus_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__day90plus_margin_mean,compact_performance,compact,common,compact__day90plus_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__day90plus_win_pct,compact_performance,compact,common,compact__day90plus_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__days_since_last_game,compact_performance,compact,common,compact__days_since_last_game,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__ewm_h10_margin,compact_performance,compact,common,compact__ewm_h10_margin,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__ewm_h20_margin,compact_performance,compact,common,compact__ewm_h20_margin,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__ewm_h5_margin,compact_performance,compact,common,compact__ewm_h5_margin,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__half_delta_marginmean,compact_performance,compact,common,compact__half_delta_marginmean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__half_marginmean_first,compact_performance,compact,common,compact__half_marginmean_first,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__half_marginmean_second,compact_performance,compact,common,compact__half_marginmean_second,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__home_margin_mean,compact_performance,compact,common,compact__home_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__home_margin_std,compact_performance,compact,common,compact__home_margin_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__home_win_pct,compact_performance,compact,common,compact__home_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last10_margin_mean,compact_performance,compact,common,compact__last10_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last10_margin_median,compact_performance,compact,common,compact__last10_margin_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last10_margin_std,compact_performance,compact,common,compact__last10_margin_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last10_win_pct,compact_performance,compact,common,compact__last10_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
