feature,family,role,new_candidate,cutoff_day,swap_parity,availability,units,evidence
diff_seed,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_strength,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_schedule_strength,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_win_rate,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_margin,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_margin_sd,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_adj_offense,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_adj_defense,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_two_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_three_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_free_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_opp_two_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_opp_three_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_opp_free_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_three_share,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
