feature,family,new_candidate,swap_parity,description,availability,label_policy,status,official_NET_or_WAB
diff_seed,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_strength,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_schedule_strength,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_win_rate,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_margin,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_margin_sd,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_adj_offense,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_adj_defense,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_two_posterior,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_three_posterior,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_free_posterior,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_opp_two_posterior,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_opp_three_posterior,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_opp_free_posterior,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_three_share,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_opp_three_share,anchor,False,-1,Frozen round-02 control,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_reference_surplus,record,False,-1,Actual wins minus expected wins of the season 75th-percentile strength reference,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_reference_surplus_nonhome,record,False,-1,Nonhome reference surplus divided by nonhome games+5,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_reference_upset_credit,record,False,-1,Sum win*(1-reference_expectation)^2 divided by games+5,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
diff_reference_bad_loss_cost,record,False,-1,Sum loss*reference_expectation^2 divided by games+5,Regular season <=132; bracket seeds after field announcement,No same-season NCAA outcomes in features; no 2022-2026 training/evaluation,Unchanged family under replication; no feature promoted,False
