feature,family,new_candidate,availability,swap_parity,tournament_labels_used,status,selection,meaning
diff_seed,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_strength,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_schedule_strength,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_win_rate,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_margin,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_margin_sd,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_adj_offense,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_adj_defense,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_two_posterior,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_three_posterior,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_free_posterior,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_opp_two_posterior,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_opp_three_posterior,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_opp_free_posterior,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_three_share,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_opp_three_share,anchor,False,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Existing concept held in fixed control
diff_resid_three_pp100,residual,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Residual is not identified causal luck
diff_resid_free_pp100,residual,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Residual is not identified causal luck
diff_resid_three_recent_pp100,residual,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Residual is not identified causal luck
diff_resid_free_recent_pp100,residual,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Residual is not identified causal luck
diff_schedule_three_accuracy,residual,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Residual is not identified causal luck
diff_schedule_free_accuracy,residual,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Residual is not identified causal luck
diff_profile_two_offense,profile,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Opponent/site-adjusted shot-rate hypothesis; not shot tracking
diff_profile_two_allowance,profile,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Opponent/site-adjusted shot-rate hypothesis; not shot tracking
diff_profile_three_offense,profile,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Opponent/site-adjusted shot-rate hypothesis; not shot tracking
diff_profile_three_allowance,profile,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Opponent/site-adjusted shot-rate hypothesis; not shot tracking
diff_profile_share_offense,profile,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Opponent/site-adjusted shot-rate hypothesis; not shot tracking
diff_profile_share_allowance,profile,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Opponent/site-adjusted shot-rate hypothesis; not shot tracking
profile_matchup_efg,profile,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Opponent/site-adjusted shot-rate hypothesis; not shot tracking
profile_variance_scaled_strength,profile,True,regular-season <= day 132; seeds known at bracket release,-1,False,"hypothesis, not proven gain",constant/support check on training rows only,Opponent/site-adjusted shot-rate hypothesis; not shot tracking
